Phase B runtime-context audit
Baseline: 80382fbffd52b1f13cb3b38e8e450ecc0fef2fd5
Candidate implementation: 7b871bf
Command: PYTHONUTF8=1 python docs/scripts/test_runtime_context.py --audit

command	profile	checkpoint	source	heading	reason	observed_words	repeat_classification	authority	charged
/tfw-plan	before	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	True
/tfw-plan	before	command dispatch	.agents/skills/tfw-plan/SKILL.md	*	selected command contract	154	once	adapter	True
/tfw-plan	before	skill contract	AGENTS.md	*	skill-mandated context	363	repeated	adapter	True
/tfw-plan	before	skill contract	.tfw/conventions.md	*	skill-mandated context	9161	once	adapter	True
/tfw-plan	before	skill contract	.tfw/glossary.md	*	skill-mandated context	2355	once	adapter	True
/tfw-plan	before	skill contract	KNOWLEDGE.md	*	skill-mandated context	14364	once	adapter	True
/tfw-plan	before	canonical dispatch	.tfw/workflows/plan.md	*	canonical command algorithm	2107	once	workflow	True
/tfw-plan	before	workflow read contract	.tfw/project_config.yaml	*	task container, knowledge mode, budgets, templates	540	once	project config	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	Task control files	identity, topology, lifecycle, scope, writer authority	259	repeated	shared rule	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	Artifact file naming	identity, topology, lifecycle, scope, writer authority	554	repeated	shared rule	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	Research subfolder	identity, topology, lifecycle, scope, writer authority	295	repeated	shared rule	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	Review subfolder	identity, topology, lifecycle, scope, writer authority	43	repeated	shared rule	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	Evidence subfolder	identity, topology, lifecycle, scope, writer authority	54	repeated	shared rule	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	Multi-phase folder structure	identity, topology, lifecycle, scope, writer authority	71	repeated	shared rule	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	Task Statuses	identity, topology, lifecycle, scope, writer authority	828	repeated	shared rule	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	A phase carries its own state	identity, topology, lifecycle, scope, writer authority	398	repeated	shared rule	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	Scope Budgets (per Phase)	identity, topology, lifecycle, scope, writer authority	96	repeated	shared rule	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	Role Lock Protocol	identity, topology, lifecycle, scope, writer authority	605	repeated	shared rule	True
/tfw-plan	before	workflow read contract	.tfw/glossary.md	Project Values (PV)	independent P0–P4 scan and relevant P5–P7 routing	243	repeated	routing index	True
/tfw-plan	before	workflow read contract	.tfw/templates/HL.md	*	output form	1994	once	template	True
/tfw-plan	before	workflow read contract	.tfw/templates/TS.md	*	output form	533	once	template	True
/tfw-plan	before	P0-P4 scan	README.md	@preamble	independent Project North Star and architecture scan	263	once	project authority	True
/tfw-plan	before	P0-P4 scan	README.md	How It Works	independent Project North Star and architecture scan	176	repeated	project authority	True
/tfw-plan	before	P0-P4 scan	.tfw/README.md	NS1 — Purpose	independent Project North Star and architecture scan	91	once	project authority	True
/tfw-plan	before	P0-P4 scan	.tfw/README.md	NS2 — Principles	independent Project North Star and architecture scan	331	repeated	project authority	True
/tfw-plan	before	P0-P4 scan	.tfw/README.md	Methodology values	independent Project North Star and architecture scan	181	repeated	project authority	True
/tfw-plan	before	P0-P4 scan	.tfw/README.md	NS3 — Non-goals	independent Project North Star and architecture scan	92	repeated	project authority	True
/tfw-plan	before	P0-P4 scan	.tfw/README.md	Success Criteria	independent Project North Star and architecture scan	126	repeated	project authority	True
/tfw-plan	before	P0-P4 scan	knowledge/philosophy.md	*	independent Project North Star and architecture scan	3134	once	project authority	True
/tfw-plan	before	P0-P4 scan	KNOWLEDGE.md	Architecture Map	independent Project North Star and architecture scan	9041	repeated	project authority	True
/tfw-plan	before	P0-P4 scan	.tfw/conventions.md	HL (High Level)	independent Project North Star and architecture scan	847	repeated	project authority	True
/tfw-plan	before	P0-P4 scan	.tfw/conventions.md	Design Rules	independent Project North Star and architecture scan	131	repeated	project authority	True
/tfw-plan	before	P0-P4 scan	.tfw/conventions.md	Anti-patterns (prohibited)	independent Project North Star and architecture scan	1058	repeated	project authority	True
/tfw-plan	before	task selection	<selected task artifacts>	@dynamic	task-specific context selected by planning steps	0	once	named source	False
/tfw-plan	after	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	True
/tfw-plan	after	command dispatch	.agents/skills/tfw-plan/SKILL.md	*	selected command contract	141	once	adapter	True
/tfw-plan	after	canonical dispatch	.tfw/workflows/plan.md	*	canonical command algorithm	2125	once	workflow	True
/tfw-plan	after	workflow read contract	.tfw/project_config.yaml	*	task container, knowledge mode, budgets, templates	540	once	project config	True
/tfw-plan	after	workflow read contract	.tfw/conventions.md	Task control files	identity, topology, lifecycle, scope, writer authority	259	once	shared rule	True
