command	profile	checkpoint	source	heading	reason	observed_words	repeat_classification	authority	dynamic	charged
/tfw-plan	before	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-plan	before	command dispatch	.agents/skills/tfw-plan/SKILL.md	*	selected command contract	141	once	adapter	False	True
/tfw-plan	before	canonical dispatch	.tfw/workflows/plan.md	*	canonical command algorithm	2183	once	workflow	False	True
/tfw-plan	before	workflow read contract	.tfw/project_config.yaml	*	task container, knowledge mode, budgets, templates	540	once	project config	False	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	Task control files	identity, topology, lifecycle, scope, writer authority	259	once	shared rule	False	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	Artifact file naming	identity, topology, lifecycle, scope, writer authority	554	repeated	shared rule	False	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	Research subfolder	identity, topology, lifecycle, scope, writer authority	295	repeated	shared rule	False	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	Review subfolder	identity, topology, lifecycle, scope, writer authority	43	repeated	shared rule	False	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	Evidence subfolder	identity, topology, lifecycle, scope, writer authority	54	repeated	shared rule	False	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	Multi-phase folder structure	identity, topology, lifecycle, scope, writer authority	71	repeated	shared rule	False	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	Task Statuses	identity, topology, lifecycle, scope, writer authority	1042	repeated	shared rule	False	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	A phase carries its own state	identity, topology, lifecycle, scope, writer authority	612	repeated	shared rule	False	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	Scope Budgets (per Phase)	identity, topology, lifecycle, scope, writer authority	96	repeated	shared rule	False	True
/tfw-plan	before	workflow read contract	.tfw/conventions.md	Role Lock Protocol	identity, topology, lifecycle, scope, writer authority	591	repeated	shared rule	False	True
/tfw-plan	before	workflow read contract	.tfw/glossary.md	Project Values (PV)	independent P0–P4 scan and relevant P5–P7 routing	243	once	routing index	False	True
/tfw-plan	before	workflow read contract	.tfw/templates/HL.md	*	output form	1994	once	template	False	True
/tfw-plan	before	workflow read contract	.tfw/templates/TS.md	*	output form	533	once	template	False	True
/tfw-plan	before	P0-P4 scan	README.md	@preamble	independent Project North Star and architecture scan	263	once	project authority	False	True
/tfw-plan	before	P0-P4 scan	README.md	How It Works	independent Project North Star and architecture scan	176	repeated	project authority	False	True
/tfw-plan	before	P0-P4 scan	.tfw/README.md	NS1 — Purpose	independent Project North Star and architecture scan	91	once	project authority	False	True
/tfw-plan	before	P0-P4 scan	.tfw/README.md	NS2 — Principles	independent Project North Star and architecture scan	331	repeated	project authority	False	True
/tfw-plan	before	P0-P4 scan	.tfw/README.md	Methodology values	independent Project North Star and architecture scan	181	repeated	project authority	False	True
/tfw-plan	before	P0-P4 scan	.tfw/README.md	NS3 — Non-goals	independent Project North Star and architecture scan	92	repeated	project authority	False	True
/tfw-plan	before	P0-P4 scan	.tfw/README.md	Success Criteria	independent Project North Star and architecture scan	126	repeated	project authority	False	True
/tfw-plan	before	P0-P4 scan	knowledge/philosophy.md	*	independent Project North Star and architecture scan	3134	once	project authority	False	True
/tfw-plan	before	P0-P4 scan	KNOWLEDGE.md	Architecture Map	independent Project North Star and architecture scan	8686	once	project authority	False	True
/tfw-plan	before	P0-P4 scan	.tfw/conventions.md	HL (High Level)	independent Project North Star and architecture scan	847	repeated	project authority	False	True
/tfw-plan	before	P0-P4 scan	.tfw/conventions.md	Design Rules	independent Project North Star and architecture scan	131	repeated	project authority	False	True
/tfw-plan	before	P0-P4 scan	.tfw/conventions.md	Anti-patterns (prohibited)	independent Project North Star and architecture scan	1058	repeated	project authority	False	True
/tfw-plan	before	task selection	<selected task artifacts>	@dynamic	task-specific context selected by planning steps	0	once	named source	True	False
